city,state,text,totalScore,cleaned_review,sentiment_score,sentiment
Kabupaten Pacitan,Jawa Timur,Hidden gem,4.4,hidden gem,-0.16666666666666666,Negatif
Kabupaten Pacitan,Jawa Timur,"Goa yang sangat menarik, wajib dikunjungi untuk menambah wawasan tentang alam",4.4,goa menarik wajib dikunjungi menambah wawasan alam,0.0,Netral
Kabupaten Pacitan,Jawa Timur,Hosjosssss,4.4,hosjosssss,0.0,Netral
Kabupaten Pacitan,Jawa Timur,"resik resik,,
tour gaetnya ramah,,
istimewa,,",4.4,resik resik tour gaetnya ramah istimewa,0.0,Netral
Kabupaten Pacitan,Jawa Timur,Cool,4.4,cool,0.35,Positif
Kabupaten Pacitan,Jawa Timur,Tempat wisata nyg luar biasa keindahan nya. Patut untuk dicoba datang bersama keluarga tercinta...,4.4,wisata nyg keindahan nya patut dicoba keluarga tercinta,0.0,Netral
Kabupaten Pacitan,Jawa Timur,Recomend untuk trip ke Pacitan.,4.4,recomend trip pacitan,0.0,Netral
Kabupaten Pacitan,Jawa Timur,"Pemandangan alam yang sangat bagus,",4.4,pemandangan alam bagus,0.0,Netral
Kabupaten Pacitan,Jawa Timur,Goa tercantik se Asia Tenggara. Kalau kesini wajib fit karena jalurnya lumayan. Masuk area goa juga harus hati hati. Setelah masuk anda akan disuguhi view menarik stalaktit stalagmit yang masih aktif,4.4,goa tercantik asia tenggara kesini wajib fit jalurnya lumayan masuk area goa hati hati masuk disuguhi view menarik stalaktit stalagmit aktif,0.4,Positif
Kabupaten Pacitan,Jawa Timur,"Goa Gong menyuguhkan pemandangan stalaktit dan stalagmit yang indah. Walaupun tempat parkir bus jauh dari lokasi goa, namun ada jasa ojek yang siap mengantarkan ke tempat wisata.
Bagi yang ingin menyusuri goa sampai ke bawah bisa berpegangan di handle yang disediakan dan hati-hati karena tangganya agak licin karena tetesan air dari atas dan curam.
Wisatawan yang phobia ruang sempit atau memiliki masalah pernapasan harap berhati-hati karena mulut goa sempit dan di dalam agak panas.
Tapi semua itu terbayar lunas dengan pemandangan indah di dalam goa. Selamat mengeksplorasi.",4.4,goa gong menyuguhkan pemandangan stalaktit stalagmit indah parkir bus lokasi goa jasa ojek mengantarkan wisata menyusuri goa berpegangan handle disediakan hatihati tangganya licin tetesan air curam wisatawan phobia ruang sempit memiliki pernapasan harap berhatihati mulut goa sempit panas terbayar lunas pemandangan indah goa selamat mengeksplorasi,0.0,Netral
Kabupaten Pacitan,Jawa Timur,Mantap,4.4,mantap,0.0,Netral
